year,total,gun1,gun2,net,trap,net_trap_combined,age60plus,total_by_age_table,source_url,source_url_age,publish_date,publish_date_basis,source_file,method,note
2012,180700,96200,1900,6500,76000,,117400,180700,https://www.env.go.jp/nature/choju/docs/docs4/syubetu.pdf,https://www.env.go.jp/nature/choju/docs/docs4/nenreibetu.pdf,2025-11-19,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/baseline/syubetu.pdf; nenreibetu.pdf,pdfplumber words assigned to nearest year-header x0,rounded to the nearest 100 by MoE; 1975-2005 every five years
2013,185300,96400,1900,6500,80600,,122800,185300,https://www.env.go.jp/nature/choju/docs/docs4/syubetu.pdf,https://www.env.go.jp/nature/choju/docs/docs4/nenreibetu.pdf,2025-11-19,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/baseline/syubetu.pdf; nenreibetu.pdf,pdfplumber words assigned to nearest year-header x0,rounded to the nearest 100 by MoE; 1975-2005 every five years
2014,193800,98000,1900,6800,87100,,128600,193800,https://www.env.go.jp/nature/choju/docs/docs4/syubetu.pdf,https://www.env.go.jp/nature/choju/docs/docs4/nenreibetu.pdf,2025-11-19,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/baseline/syubetu.pdf; nenreibetu.pdf,pdfplumber words assigned to nearest year-header x0,rounded to the nearest 100 by MoE; 1975-2005 every five years
2015,190100,88600,1900,6700,92900,,120300,190100,https://www.env.go.jp/nature/choju/docs/docs4/syubetu.pdf,https://www.env.go.jp/nature/choju/docs/docs4/nenreibetu.pdf,2025-11-19,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/baseline/syubetu.pdf; nenreibetu.pdf,pdfplumber words assigned to nearest year-header x0,rounded to the nearest 100 by MoE; 1975-2005 every five years
2016,196500,88900,1900,6900,98800,,125300,199700,https://www.env.go.jp/nature/choju/docs/docs4/syubetu.pdf,https://www.env.go.jp/nature/choju/docs/docs4/nenreibetu.pdf,2025-11-19,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/baseline/syubetu.pdf; nenreibetu.pdf,pdfplumber words assigned to nearest year-header x0,rounded to the nearest 100 by MoE; 1975-2005 every five years
2017,209600,93700,2000,7400,106400,,129200,209600,https://www.env.go.jp/nature/choju/docs/docs4/syubetu.pdf,https://www.env.go.jp/nature/choju/docs/docs4/nenreibetu.pdf,2025-11-19,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/baseline/syubetu.pdf; nenreibetu.pdf,pdfplumber words assigned to nearest year-header x0,rounded to the nearest 100 by MoE; 1975-2005 every five years
2018,207300,88000,2000,7300,110000,,122100,207300,https://www.env.go.jp/nature/choju/docs/docs4/syubetu.pdf,https://www.env.go.jp/nature/choju/docs/docs4/nenreibetu.pdf,2025-11-19,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/baseline/syubetu.pdf; nenreibetu.pdf,pdfplumber words assigned to nearest year-header x0,rounded to the nearest 100 by MoE; 1975-2005 every five years
2019,215400,90000,2000,7800,115600,,126100,215400,https://www.env.go.jp/nature/choju/docs/docs4/syubetu.pdf,https://www.env.go.jp/nature/choju/docs/docs4/nenreibetu.pdf,2025-11-19,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/baseline/syubetu.pdf; nenreibetu.pdf,pdfplumber words assigned to nearest year-header x0,rounded to the nearest 100 by MoE; 1975-2005 every five years
2020,218500,90000,2000,7500,118900,,127400,218500,https://www.env.go.jp/nature/choju/docs/docs4/syubetu.pdf,https://www.env.go.jp/nature/choju/docs/docs4/nenreibetu.pdf,2025-11-19,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/baseline/syubetu.pdf; nenreibetu.pdf,pdfplumber words assigned to nearest year-header x0,rounded to the nearest 100 by MoE; 1975-2005 every five years
2021,213400,84400,1900,7600,119500,,119100,213400,https://www.env.go.jp/nature/choju/docs/docs4/syubetu.pdf,https://www.env.go.jp/nature/choju/docs/docs4/nenreibetu.pdf,2025-11-19,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/baseline/syubetu.pdf; nenreibetu.pdf,pdfplumber words assigned to nearest year-header x0,rounded to the nearest 100 by MoE; 1975-2005 every five years
