fiscal_year,month,calendar_year,injured,killed,incidents,status,source_url,publish_date,pdf_created,source_file,method
2015,3,2016,0,0,0,closed,https://www.env.go.jp/nature/choju/effort/effort12/h27injury-qe.pdf,2025-06-14,2023-12-04,raw/research/moe/h27injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2016,4,2016,6,0,4,closed,https://www.env.go.jp/nature/choju/effort/effort12/h28injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h28injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2016,5,2016,14,3,14,closed,https://www.env.go.jp/nature/choju/effort/effort12/h28injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h28injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2016,6,2016,12,1,12,closed,https://www.env.go.jp/nature/choju/effort/effort12/h28injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h28injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2016,7,2016,7,0,7,closed,https://www.env.go.jp/nature/choju/effort/effort12/h28injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h28injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2016,8,2016,16,0,15,closed,https://www.env.go.jp/nature/choju/effort/effort12/h28injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h28injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2016,9,2016,8,0,8,closed,https://www.env.go.jp/nature/choju/effort/effort12/h28injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h28injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2016,10,2016,27,0,26,closed,https://www.env.go.jp/nature/choju/effort/effort12/h28injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h28injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2016,11,2016,12,0,12,closed,https://www.env.go.jp/nature/choju/effort/effort12/h28injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h28injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2016,12,2016,3,0,3,closed,https://www.env.go.jp/nature/choju/effort/effort12/h28injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h28injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
