fiscal_year,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,合計,as_of,source_url
2025,35,90,115,102,40,62,204,216,53,19,10,4,950,2026-08-23,https://www.pref.fukui.lg.jp/doc/shizen/tixyouzixyuu/tukinowaguma2_d/fil/R4-8.pdf
2026,27,125,173,82,25,,,,,,,,432,2026-08-23,https://www.pref.fukui.lg.jp/doc/shizen/tixyouzixyuu/tukinowaguma2_d/fil/R4-8.pdf
